Design Point,Angle of Attack (deg),Drag Coeff (P2),Lift Coeff (P3),True CL (P8),True CD (P9)
DP0,0,-0.2391,1.0604,1.0862,0.043506
DP1,2,-0.2157,1.1427,1.1639,0.043506
DP2,4,-0.1923,1.2250,1.2416,0.043506
DP3,6,-0.1690,1.3073,1.3193,0.043506
DP4,8,-0.1456,1.3896,1.3970,0.043506
DP5,10,-0.1222,1.4719,1.4747,0.043506
DP6,12,-0.0989,1.5542,1.5524,0.043506
DP7,14,-0.0755,1.6365,1.6301,0.043506
DP8,16,-0.0521,1.7188,1.7078,0.043506
DP9,18,-0.0288,1.8011,1.7855,0.043506
DP10,20,-0.0054,1.8834,1.8632,0.043506
DP11,22,0.0179,1.9657,1.9409,0.043506
DP12,24,0.0413,2.0480,2.0186,0.043506
