Design_Point,Update_Order,AoA_deg,P6_raw_drag_coefficient,P7_raw_lift_coefficient,P8_true_CL,P9_true_CD
DP 0,1,0,0.035772,0.37417,0.37417,0.035772
DP 1,2,1,0.022844,0.41144,0.41098,0.030021
DP 2,3,3,-0.003678,0.32968,0.32942,0.013581
DP 3,4,6,-0.0576,0.54686,0.54989,-0.0001214
DP 4,5,9,-0.12667,0.76505,0.77644,-0.0052699
DP 5,6,11,-0.17924,0.89564,0.91339,-0.005053
DP 6,7,12,-0.20622,0.95316,0.9752,-0.0035417
DP 7,8,13,-0.23094,0.99728,1.0237,-0.00064858
DP 8,9,14,-0.2483,1.0153,1.0453,0.0047087
DP 9 (Current),10,15,-0.25014,0.98892,1.02,0.014333
DP 10,11,16,-0.20683,0.84664,0.87085,0.034552
DP 11,12,17,-0.21055,0.85938,0.88339,0.049907
DP 12,13,18,-0.16937,0.74313,0.75743,0.073692
